task_identifier,task_description,golden_steps,app_package,app_name,trajectory_id,original_goal,task_reasonable,task_completed,task_id,difficulty_level,core_functionality,variation_type,prerequisites
260114165054.645526_7A06D2E1EC5398F6-005,"Using the Contacts app, search for the contact 'Cindy Scott', edit her details to add a second phone number '555-0202' with the label 'Work', and then share her contact card via SMS/Messages.",18,com.google.android.contacts,Contacts,260114165054.645526_7A06D2E1EC5398F6,"Dismiss the current share dialog, then mark Alice Johnson as a favorite contact and verify that she appears in the ""Favorites"" list.",TRUE,TRUE,task_5,,"Contact editing, adding fields, sharing contacts",multi_step_workflow,The contact 'Cindy Scott' must exist in the contact list.
260114165054.645526_7A06D2E1EC5398F6-006,"In the Contacts app, go to the 'Fix & manage' section and export all contacts to a .vcf file named 'contacts_backup.vcf'.",10,com.google.android.contacts,Contacts,260114165054.645526_7A06D2E1EC5398F6,"Dismiss the current share dialog, then mark Alice Johnson as a favorite contact and verify that she appears in the ""Favorites"" list.",TRUE,TRUE,task_6,,"Contact export, file management",scenario_application,The app must have permission to access device storage.
260114165504.470249_32EBE3FCD9D9BA5C-001,"In the Contacts app, edit the contact 'Alice Johnson' to add the address '1600 Amphitheatre Parkway, Mountain View'. Then, add a significant date for her birthday: June 5, 1990. Save the changes.",17,com.google.android.contacts,Contacts,260114165504.470249_32EBE3FCD9D9BA5C,"Go back to Alice Johnson's contact details, tap the edit icon, add the website ""www.alicej.com"" to her profile, and save the changes.",TRUE,TRUE,task_1,,Contact Editing (Multiple Fields),step_progression,The contact 'Alice Johnson' must exist.
260114165504.470249_32EBE3FCD9D9BA5C-002,"In the Contacts app, begin creating a new contact. Enter the following details: First Name: 'George', Last Name: 'Taylor', Company: 'Innovate Inc.', Phone: '555-0123', Phone Label: 'Work', Email: 'g.taylor@innovate.com', Email Label: 'Work'. Do NOT save the contact.",18,com.google.android.contacts,Contacts,260114165504.470249_32EBE3FCD9D9BA5C,"Go back to Alice Johnson's contact details, tap the edit icon, add the website ""www.alicej.com"" to her profile, and save the changes.",TRUE,TRUE,task_2,,Contact Creation (Drafting),scenario_application,None
260114165504.470249_32EBE3FCD9D9BA5C-003,"In the Contacts app, create a new contact for 'Support Desk' with phone number '555-4357' and email 'support@company.com'. After saving, find the contact 'Alice Johnson' and edit her profile to add 'Support Desk' as a 'Related person' with the relationship 'Assistant'.",25,com.google.android.contacts,Contacts,260114165504.470249_32EBE3FCD9D9BA5C,"Go back to Alice Johnson's contact details, tap the edit icon, add the website ""www.alicej.com"" to her profile, and save the changes.",TRUE,TRUE,task_3,,Contact Creation and Linking,multi-step_workflow,The contact 'Alice Johnson' must exist.
260114165504.470249_32EBE3FCD9D9BA5C-004,"Using the Contacts app, find the contact 'Alice Johnson' and edit her profile. Add a 'Nickname' of 'Allie' and then add a new, empty phone number field with the label 'Other'. Do not save the contact; instead, discard the changes.",14,com.google.android.contacts,Contacts,260114165504.470249_32EBE3FCD9D9BA5C,"Go back to Alice Johnson's contact details, tap the edit icon, add the website ""www.alicej.com"" to her profile, and save the changes.",TRUE,TRUE,task_4,,Contact Editing (Discarding Changes),scenario_application,The contact 'Alice Johnson' must exist.
260114165504.470249_32EBE3FCD9D9BA5C-005,"In the Contacts app, find the contact 'Alice Johnson', edit her profile to change her existing phone number's label from 'Mobile' to 'Work', and then add a note with the text 'Key project stakeholder'. Save the changes.",12,com.google.android.contacts,Contacts,260114165504.470249_32EBE3FCD9D9BA5C,"Go back to Alice Johnson's contact details, tap the edit icon, add the website ""www.alicej.com"" to her profile, and save the changes.",TRUE,TRUE,task_5,,Contact Editing (Label Change and Note),parameter_change,The contact 'Alice Johnson' must exist with a phone number labeled 'Mobile'.
260114170109.881710_A4F60553093B5484-001,"In the Contacts app, find the contact 'Bob Smith' and block all his numbers. Then, find the contact 'Carol Williams' and set her calls to be routed directly to voicemail.",15,com.google.android.contacts,Contacts,260114170109.881710_A4F60553093B5484,"Close the share sheet, tap the three-dot menu on Alice Johnson's contact page, select ""Share"", and then share her contact information via Gmail to the recipient ""team@example.com"".",TRUE,FALSE,task_1,,contact_management,scenario_application,The contacts 'Bob Smith' and 'Carol Williams' must exist.
260114170109.881710_A4F60553093B5484-002,"In the Contacts app, first un-favorite the contact 'Alice Johnson'. Then, find the contact 'Emily Davis', add her to your favorites, and finally, set a custom ringtone for her.",18,com.google.android.contacts,Contacts,260114170109.881710_A4F60553093B5484,"Close the share sheet, tap the three-dot menu on Alice Johnson's contact page, select ""Share"", and then share her contact information via Gmail to the recipient ""team@example.com"".",TRUE,FALSE,task_2,,contact_management,step_progression,"The contact 'Alice Johnson' must be favorited, and 'Emily Davis' must exist."
260114170109.881710_A4F60553093B5484-003,"Using the Contacts app, search for the contact 'Cindy Scott', edit her details to add a second phone number '555-0202' with the label 'Work', and then share her contact card via SMS/Messages.",22,com.google.android.contacts,Contacts,260114170109.881710_A4F60553093B5484,"Close the share sheet, tap the three-dot menu on Alice Johnson's contact page, select ""Share"", and then share her contact information via Gmail to the recipient ""team@example.com"".",TRUE,FALSE,task_3,,contact_editing_and_sharing,scenario_application,The contact 'Cindy Scott' must exist.
260114170109.881710_A4F60553093B5484-004,"In the Contacts app, go to the 'Fix & manage' section and export all contacts to a .vcf file named 'contacts_backup.vcf'.",12,com.google.android.contacts,Contacts,260114170109.881710_A4F60553093B5484,"Close the share sheet, tap the three-dot menu on Alice Johnson's contact page, select ""Share"", and then share her contact information via Gmail to the recipient ""team@example.com"".",TRUE,FALSE,task_4,,data_management,scenario_application,None
260114170109.881710_A4F60553093B5484-005,"In the Contacts app, edit the contact 'Alice Johnson' to add the address '1600 Amphitheatre Parkway, Mountain View'. Then, add a significant date for her birthday: June 5, 1990. Save the changes.",25,com.google.android.contacts,Contacts,260114170109.881710_A4F60553093B5484,"Close the share sheet, tap the three-dot menu on Alice Johnson's contact page, select ""Share"", and then share her contact information via Gmail to the recipient ""team@example.com"".",TRUE,FALSE,task_5,,contact_editing,parameter_change,The contact 'Alice Johnson' must exist.
260114170109.881710_A4F60553093B5484-006,"In the Contacts app, begin creating a new contact. Enter the following details: First Name: 'George', Last Name: 'Taylor', Company: 'Innovate Inc.', Phone: '555-0123', Phone Label: 'Work', Email: 'g.taylor@innovate.com', Email Label: 'Work'. Do NOT save the contact.",16,com.google.android.contacts,Contacts,260114170109.881710_A4F60553093B5484,"Close the share sheet, tap the three-dot menu on Alice Johnson's contact page, select ""Share"", and then share her contact information via Gmail to the recipient ""team@example.com"".",TRUE,FALSE,task_6,,contact_creation,scenario_application,None
260114170430.557866_8EA1ED7349113626-001,"In the Contacts app, go to the settings and change the contact list sorting preference to 'Last name' and then change the name display format to 'Last name first'.",10,com.google.android.contacts,Contacts,260114170430.557866_8EA1ED7349113626,"Navigate back to the main contacts list, open the app's settings, and change the display theme from the current setting to ""Dark"".",TRUE,TRUE,task_1,,Settings Management,step_progression,The user must be on the main contacts list screen.
260114170430.557866_8EA1ED7349113626-002,"Using the Contacts app, use the multi-select feature to select 'Bob Smith', 'Brian Wright', and 'Carol Williams', and then delete all three contacts in a single batch operation.",15,com.google.android.contacts,Contacts,260114170430.557866_8EA1ED7349113626,"Navigate back to the main contacts list, open the app's settings, and change the display theme from the current setting to ""Dark"".",TRUE,TRUE,task_2,,"Batch Operations (Deletion), Long-press",scenario_application,"The contacts 'Bob Smith', 'Brian Wright', and 'Carol Williams' must exist in the contact list."
260114170430.557866_8EA1ED7349113626-003,"In the Contacts app, find and state the total number of contacts saved on the device.",8,com.google.android.contacts,Contacts,260114170430.557866_8EA1ED7349113626,"Navigate back to the main contacts list, open the app's settings, and change the display theme from the current setting to ""Dark"".",TRUE,TRUE,task_3,,Information Retrieval,agent_answer_space,"The main contacts list must display the total contact count, as seen in the trajectory."
260114170430.557866_8EA1ED7349113626-004,"In the Contacts app, create a new label named 'Project Alpha'. Then, find and add both 'Daniel Green' and 'David Brown' to this new 'Project Alpha' label.",20,com.google.android.contacts,Contacts,260114170430.557866_8EA1ED7349113626,"Navigate back to the main contacts list, open the app's settings, and change the display theme from the current setting to ""Dark"".",TRUE,TRUE,task_4,,"Label Management, Contact Tagging, Multi-step Workflow",scenario_application,The contacts 'Daniel Green' and 'David Brown' must exist in the contact list.
260114170430.557866_8EA1ED7349113626-005,"In the Contacts app, find the contact 'Emily Davis' and edit her details to add a website 'www.emilydavis.io' and a note that says 'Met at conference'.",16,com.google.android.contacts,Contacts,260114170430.557866_8EA1ED7349113626,"Navigate back to the main contacts list, open the app's settings, and change the display theme from the current setting to ""Dark"".",TRUE,TRUE,task_5,,Contact Editing (Multiple Fields),parameter_change,The contact 'Emily Davis' must exist in the contact list.
260114170430.557866_8EA1ED7349113626-006,"In the Contacts app, navigate to the 'Fix & manage' section and check for duplicate contacts. If duplicates for 'Alice Johnson' are found, merge them. Then, navigate back to the main list and search for 'Alice Johnson' to confirm only one entry exists.",18,com.google.android.contacts,Contacts,260114170430.557866_8EA1ED7349113626,"Navigate back to the main contacts list, open the app's settings, and change the display theme from the current setting to ""Dark"".",TRUE,TRUE,task_6,,"Contact Merging, Verification, Multi-step Workflow",scenario_application,At least two contacts named 'Alice Johnson' must exist.
260114171336.781725_26A0E96BFDF69443-001,"In the Contacts app, navigate to the 'Fix & manage' section and view the list of blocked numbers. After viewing, navigate back to the main contacts list.",10,com.google.android.contacts,Contacts,260114171336.781725_26A0E96BFDF69443,"Return to the main contacts list, tap on your profile icon to open the menu, select ""Fix & manage"", and then use the ""Merge & fix"" tool to check for any duplicate contacts.",TRUE,FALSE,task_1,,"Navigation, Settings Management",scenario_application,None
260114171336.781725_26A0E96BFDF69443-002,"In the Contacts app, find the contact 'Daniel Green', edit his details to add a Company 'Google' and a Job Title 'Software Engineer', and then save the changes.",20,com.google.android.contacts,Contacts,260114171336.781725_26A0E96BFDF69443,"Return to the main contacts list, tap on your profile icon to open the menu, select ""Fix & manage"", and then use the ""Merge & fix"" tool to check for any duplicate contacts.",TRUE,FALSE,task_2,,Contact Editing,step_progression,The contact 'Daniel Green' must exist.
260114171336.781725_26A0E96BFDF69443-003,"Using the Contacts app, select both 'Carol Williams' and 'Cindy Scott' using the multi-select feature, and then share them together as a single file.",16,com.google.android.contacts,Contacts,260114171336.781725_26A0E96BFDF69443,"Return to the main contacts list, tap on your profile icon to open the menu, select ""Fix & manage"", and then use the ""Merge & fix"" tool to check for any duplicate contacts.",TRUE,FALSE,task_3,,"Batch Operations, Sharing",scenario_application,Contacts 'Carol Williams' and 'Cindy Scott' must exist.
260114171336.781725_26A0E96BFDF69443-004,"In the Contacts app, navigate to the 'Fix & manage' section and start the process to import contacts from a file. Once you reach the file selection screen, cancel the operation and return to the main contacts list.",14,com.google.android.contacts,Contacts,260114171336.781725_26A0E96BFDF69443,"Return to the main contacts list, tap on your profile icon to open the menu, select ""Fix & manage"", and then use the ""Merge & fix"" tool to check for any duplicate contacts.",TRUE,FALSE,task_4,,"Import/Export, Navigation",scenario_application,None
260114171336.781725_26A0E96BFDF69443-005,"In the Contacts app, find and delete the contact 'Eva Adams'. Afterwards, find and delete the contact 'Amy King'.",22,com.google.android.contacts,Contacts,260114171336.781725_26A0E96BFDF69443,"Return to the main contacts list, tap on your profile icon to open the menu, select ""Fix & manage"", and then use the ""Merge & fix"" tool to check for any duplicate contacts.",TRUE,FALSE,task_5,,"Contact Deletion, Batch Operations",step_progression,Contacts 'Eva Adams' and 'Amy King' must exist.
260114171336.781725_26A0E96BFDF69443-006,"In the Contacts app, create a new contact for 'Local Library' with the phone number '555-0150'. After saving, find this contact again and add it to your favorites.",25,com.google.android.contacts,Contacts,260114171336.781725_26A0E96BFDF69443,"Return to the main contacts list, tap on your profile icon to open the menu, select ""Fix & manage"", and then use the ""Merge & fix"" tool to check for any duplicate contacts.",TRUE,FALSE,task_6,,"Contact Creation, Contact Editing, Favorites",step_progression,None
260114171932.182892_67FA650624829394-001,"In the Contacts app, find and block the contact 'Brian Wright'. Then, navigate to the 'Fix & manage' section, open 'Blocked numbers', and then unblock 'Brian Wright' from that list.",15,com.google.android.contacts,Contacts,260114171932.182892_67FA650624829394,"Allow notifications, then use the floating action button to create a new contact named ""Jane Smith"" with the phone number ""555-012-3456"" and save it.",TRUE,TRUE,task_1,,"contact_management, blocking, settings_navigation",step_progression,The contact 'Brian Wright' must exist in the contact list.
260114171932.182892_67FA650624829394-002,"In the Contacts app, use the multi-select feature to select 'Amy King', 'Bob Smith', and 'Carol Williams'. Then, create a new label called 'Old Team' and assign it to all three selected contacts.",12,com.google.android.contacts,Contacts,260114171932.182892_67FA650624829394,"Allow notifications, then use the floating action button to create a new contact named ""Jane Smith"" with the phone number ""555-012-3456"" and save it.",TRUE,TRUE,task_2,,"batch_operations, contact_labeling",scenario_application,"The contacts 'Amy King', 'Bob Smith', and 'Carol Williams' must exist."
260114171932.182892_67FA650624829394-003,"In the Contacts app, create a new contact for 'Isabella Rossi'. Enter the phone number '555-987-6543' with the label 'Mobile', the email 'isabella.r@email.com' with the label 'Home', and set a significant date for her birthday on October 26th. Save the contact.",22,com.google.android.contacts,Contacts,260114171932.182892_67FA650624829394,"Allow notifications, then use the floating action button to create a new contact named ""Jane Smith"" with the phone number ""555-012-3456"" and save it.",TRUE,TRUE,task_3,,"contact_creation, data_entry, date_picker_interaction",parameter_change,None
260114171932.182892_67FA650624829394-004,"Using the Contacts app, search for the contact 'David Brown', edit his contact to add the company 'Tech Solutions', and then share his contact via Messages.",14,com.google.android.contacts,Contacts,260114171932.182892_67FA650624829394,"Allow notifications, then use the floating action button to create a new contact named ""Jane Smith"" with the phone number ""555-012-3456"" and save it.",TRUE,TRUE,task_4,,"search, contact_editing, sharing",step_progression,The contact 'David Brown' must exist.
260114171932.182892_67FA650624829394-005,"In the Contacts app, find the contact 'Daniel Green'. Edit his details to change his phone number to '555-111-2222' and change the label for that number to 'Work'. Then, add an email 'daniel.g@workplace.com' with the label 'Work'. Save the changes.",17,com.google.android.contacts,Contacts,260114171932.182892_67FA650624829394,"Allow notifications, then use the floating action button to create a new contact named ""Jane Smith"" with the phone number ""555-012-3456"" and save it.",TRUE,TRUE,task_5,,"contact_editing, data_entry, label_modification",scenario_application,The contact 'Daniel Green' must exist.
260114172123.052527_620B8013222F4FD0-001,"In the Contacts app, find the contact 'Jane Smith', edit her profile to add the company 'ACME Corp' and the website 'www.acme.com', and then add her to your Home screen.",18,com.google.android.contacts,Contacts,260114172123.052527_620B8013222F4FD0,"Add Jane Smith to your favorites list by tapping the star icon at the top of the screen, then verify that the star icon becomes filled in.",TRUE,TRUE,task_1,,"Editing contact details, Home screen widget creation",step_progression,The contact 'Jane Smith' must exist.
260114172123.052527_620B8013222F4FD0-002,"Using the Contacts app, use the multi-select feature to select 'Daniel Green' and 'David Brown'. Add both contacts to the 'Work Colleagues' label and also add them to your favorites in a single selection.",15,com.google.android.contacts,Contacts,260114172123.052527_620B8013222F4FD0,"Add Jane Smith to your favorites list by tapping the star icon at the top of the screen, then verify that the star icon becomes filled in.",TRUE,TRUE,task_2,,"Batch operations, Label management, Favoriting",scenario_application,Contacts 'Daniel Green' and 'David Brown' must exist. The label 'Work Colleagues' must exist.
260114172123.052527_620B8013222F4FD0-003,"In the Contacts app, navigate to the 'Fix & manage' section, view the list of blocked numbers, and report how many numbers are currently blocked.",10,com.google.android.contacts,Contacts,260114172123.052527_620B8013222F4FD0,"Add Jane Smith to your favorites list by tapping the star icon at the top of the screen, then verify that the star icon becomes filled in.",TRUE,TRUE,task_3,,"Information retrieval, Navigation",agent_answer_space,The 'Fix & manage' section must be available.
260114172123.052527_620B8013222F4FD0-004,"In the Contacts app, find the 'Work Colleagues' label. From within that label's view, remove 'Daniel Green' from the label. Then, navigate back to the main contact list, find 'Emily Davis', and add her to the 'Work Colleagues' label.",22,com.google.android.contacts,Contacts,260114172123.052527_620B8013222F4FD0,"Add Jane Smith to your favorites list by tapping the star icon at the top of the screen, then verify that the star icon becomes filled in.",TRUE,TRUE,task_4,,"Label management, Navigation, Contact editing",step_progression,The label 'Work Colleagues' must exist and contain 'Daniel Green'. The contact 'Emily Davis' must exist.
260114172123.052527_620B8013222F4FD0-005,"In the Contacts app, create a new contact for 'Service Pro' with phone '123-456-7890', and then immediately share this contact via Messages.",16,com.google.android.contacts,Contacts,260114172123.052527_620B8013222F4FD0,"Add Jane Smith to your favorites list by tapping the star icon at the top of the screen, then verify that the star icon becomes filled in.",TRUE,TRUE,task_5,,"Contact creation, Sharing/Intent",scenario_application,None
260114172123.052527_620B8013222F4FD0-006,"Using the Contacts app, search for the contact 'Jane Smith'. Edit her contact to add a second phone number, '555-987-6543', with the label 'Home'. Do not save the changes; instead, discard them.",14,com.google.android.contacts,Contacts,260114172123.052527_620B8013222F4FD0,"Add Jane Smith to your favorites list by tapping the star icon at the top of the screen, then verify that the star icon becomes filled in.",TRUE,TRUE,task_6,,"Contact editing, Discarding changes",scenario_application,The contact 'Jane Smith' must exist.
260114172123.052527_620B8013222F4FD0-007,"In the Contacts app, navigate to settings, find the option for the default account for new contacts, and change it to your device account. Then, navigate back and begin creating a new contact to verify the 'Saving to' field has updated, but cancel the creation process before saving.",20,com.google.android.contacts,Contacts,260114172123.052527_620B8013222F4FD0,"Add Jane Smith to your favorites list by tapping the star icon at the top of the screen, then verify that the star icon becomes filled in.",TRUE,TRUE,task_7,,"Settings management, Verification",step_progression,"Multiple accounts (e.g., Google, device) must be available for saving contacts."
260114172517.547928_3E8E5177A0E25E22-001,"In the Contacts app, create a new contact for 'Sam Jones' with phone '555-555-5555'. Then, immediately edit this new contact to add a note saying 'New client' and route their calls directly to voicemail.",16,com.google.android.contacts,Contacts,260114172517.547928_3E8E5177A0E25E22,"Edit Jane Smith's contact information to add her work email address, ""jane.smith@work.com"", and save the changes.",TRUE,TRUE,task_1,,"contact_creation, contact_editing, note_addition, call_routing",step_progression,The app should be on the main contact list screen.
260114172517.547928_3E8E5177A0E25E22-002,"Using the Contacts app, use the multi-select feature to add both 'Alice Johnson' and 'Jane Smith' to a new label called 'Project Team'. Afterwards, delete the 'Project Team' label entirely.",15,com.google.android.contacts,Contacts,260114172517.547928_3E8E5177A0E25E22,"Edit Jane Smith's contact information to add her work email address, ""jane.smith@work.com"", and save the changes.",TRUE,TRUE,task_2,,"multi_select, label_creation, label_management, label_deletion",scenario_application,Contacts for 'Alice Johnson' and 'Jane Smith' must exist.
260114172517.547928_3E8E5177A0E25E22-003,"In the Contacts app, find the contact 'Jane Smith'. Edit her contact to add a second phone number '555-888-9999' with the label 'Work'. Then, delete her original 'Mobile' phone number. Save the changes.",12,com.google.android.contacts,Contacts,260114172517.547928_3E8E5177A0E25E22,"Edit Jane Smith's contact information to add her work email address, ""jane.smith@work.com"", and save the changes.",TRUE,TRUE,task_3,,"contact_editing, phone_number_management",parameter_change,Contact for 'Jane Smith' must exist with a 'Mobile' number.
260114172517.547928_3E8E5177A0E25E22-004,"In the Contacts app, find and select 'Daniel Green', 'David Brown', and 'Emily Davis' using multi-select. Add all three to the 'Work Colleagues' label. Then, block all three contacts in the same batch operation. Finally, navigate to the blocked numbers list, unblock 'Emily Davis' only, and then return to the main contacts list.",20,com.google.android.contacts,Contacts,260114172517.547928_3E8E5177A0E25E22,"Edit Jane Smith's contact information to add her work email address, ""jane.smith@work.com"", and save the changes.",TRUE,TRUE,task_4,,"multi_select, batch_operations, label_management, blocking, unblocking, navigation",step_progression,"Contacts for 'Daniel Green', 'David Brown', and 'Emily Davis' must exist. A label named 'Work Colleagues' must exist."
260114172517.547928_3E8E5177A0E25E22-005,"In the Contacts app, find the contact 'Jane Smith' and report the date she was added.",9,com.google.android.contacts,Contacts,260114172517.547928_3E8E5177A0E25E22,"Edit Jane Smith's contact information to add her work email address, ""jane.smith@work.com"", and save the changes.",TRUE,TRUE,task_5,,"information_retrieval, question_answering",agent_answer_space,"The contact 'Jane Smith' must exist and be visible as shown in the trajectory screenshots, including the 'Added Oct 15, 2023' text."
260114172517.547928_3E8E5177A0E25E22-006,"In the Contacts app, edit the contact 'Jane Smith' to add the company 'Innovate LLC'. Then, add a new empty email field with the label 'Other'. Finally, discard all changes instead of saving.",14,com.google.android.contacts,Contacts,260114172517.547928_3E8E5177A0E25E22,"Edit Jane Smith's contact information to add her work email address, ""jane.smith@work.com"", and save the changes.",TRUE,TRUE,task_6,,"contact_editing, discarding_changes",scenario_application,The contact 'Jane Smith' must exist.
260114172808.395366_30CE60D4F7A2B9C9-001,"Using the Contacts app, find the contact 'Jane Smith' and report what the label for her phone number is.",8,com.google.android.contacts,Contacts,260114172808.395366_30CE60D4F7A2B9C9,Open the additional options menu and share Jane Smith's contact card as a VCF file.,TRUE,TRUE,task_1,,information_retrieval,scenario_application,The contact 'Jane Smith' must exist and be visible on the screen as shown in the trajectory.
260114172808.395366_30CE60D4F7A2B9C9-002,"In the Contacts app, find the contact 'Jane Smith', edit her profile to add a new empty address field, and then add a new empty website field. Do not enter any data into these new fields, and then discard all the changes.",15,com.google.android.contacts,Contacts,260114172808.395366_30CE60D4F7A2B9C9,Open the additional options menu and share Jane Smith's contact card as a VCF file.,TRUE,TRUE,task_2,,contact_editing,step_progression,The contact 'Jane Smith' must exist.
260114172808.395366_30CE60D4F7A2B9C9-003,"In the Contacts app, navigate to settings and change the theme to 'Light'. Then, navigate back to the main contact list, find 'Jane Smith', and add her to your favorites.",14,com.google.android.contacts,Contacts,260114172808.395366_30CE60D4F7A2B9C9,Open the additional options menu and share Jane Smith's contact card as a VCF file.,TRUE,TRUE,task_3,,settings_modification,scenario_application,The app must have a settings menu with a theme option.
260114172808.395366_30CE60D4F7A2B9C9-004,"In the Contacts app, navigate to the 'Fix & manage' section, then view the 'Blocked numbers' list. Manually add the number '123-456-7890' to the block list. Afterwards, return to the main contact list, find 'Jane Smith' and block her as well.",18,com.google.android.contacts,Contacts,260114172808.395366_30CE60D4F7A2B9C9,Open the additional options menu and share Jane Smith's contact card as a VCF file.,TRUE,TRUE,task_4,,contact_blocking,step_progression,The 'Fix & manage' section must be accessible and contain a 'Blocked numbers' option.
260114173145.319077_4C6F3E246C63FED5-001,"In the Contacts app, find the contact 'Daniel Green'. Edit his profile to remove his 'Software Engineer' job title entirely. Then, add a new significant date for 'Anniversary' on July 15th and save the changes.",18,com.google.android.contacts,Contacts,260114173145.319077_4C6F3E246C63FED5,"Change Jane Smith's profile picture by tapping the edit icon, then tapping the current picture, and selecting a new photo from your device's gallery.",TRUE,FALSE,task_1,,contact_editing_batch,scenario_application,The contact 'Daniel Green' with the job title 'Software Engineer' must exist.
